Mantissa base 3;Decimal
Combinação 0.100 x 3^-2;0.037037037037037035
Combinação 0.100 x 3^-1;0.1111111111111111
Combinação 0.100 x 3^0;0.3333333333333333
Combinação 0.100 x 3^1;1.0
Combinação 0.101 x 3^-2;0.04115226337448559
Combinação 0.101 x 3^-1;0.12345679012345678
Combinação 0.101 x 3^0;0.37037037037037035
Combinação 0.101 x 3^1;1.1111111111111112
Combinação 0.102 x 3^-2;0.04526748971193415
Combinação 0.102 x 3^-1;0.13580246913580246
Combinação 0.102 x 3^0;0.4074074074074074
Combinação 0.102 x 3^1;1.222222222222222
Combinação 0.110 x 3^-2;0.04938271604938271
Combinação 0.110 x 3^-1;0.14814814814814814
Combinação 0.110 x 3^0;0.4444444444444444
Combinação 0.110 x 3^1;1.3333333333333333
Combinação 0.111 x 3^-2;0.05349794238683127
Combinação 0.111 x 3^-1;0.16049382716049382
Combinação 0.111 x 3^0;0.48148148148148145
Combinação 0.111 x 3^1;1.4444444444444444
Combinação 0.112 x 3^-2;0.05761316872427983
Combinação 0.112 x 3^-1;0.1728395061728395
Combinação 0.112 x 3^0;0.5185185185185185
Combinação 0.112 x 3^1;1.5555555555555554
Combinação 0.120 x 3^-2;0.06172839506172839
Combinação 0.120 x 3^-1;0.18518518518518517
Combinação 0.120 x 3^0;0.5555555555555556
Combinação 0.120 x 3^1;1.6666666666666667
Combinação 0.121 x 3^-2;0.06584362139917695
Combinação 0.121 x 3^-1;0.19753086419753085
Combinação 0.121 x 3^0;0.5925925925925926
Combinação 0.121 x 3^1;1.7777777777777777
Combinação 0.122 x 3^-2;0.06995884773662552
Combinação 0.122 x 3^-1;0.20987654320987653
Combinação 0.122 x 3^0;0.6296296296296297
Combinação 0.122 x 3^1;1.8888888888888888
Combinação 0.200 x 3^-2;0.07407407407407407
Combinação 0.200 x 3^-1;0.2222222222222222
Combinação 0.200 x 3^0;0.6666666666666666
Combinação 0.200 x 3^1;2.0
Combinação 0.201 x 3^-2;0.07818930041152262
Combinação 0.201 x 3^-1;0.2345679012345679
Combinação 0.201 x 3^0;0.7037037037037037
Combinação 0.201 x 3^1;2.111111111111111
Combinação 0.202 x 3^-2;0.08230452674897118
Combinação 0.202 x 3^-1;0.24691358024691357
Combinação 0.202 x 3^0;0.7407407407407407
Combinação 0.202 x 3^1;2.2222222222222223
Combinação 0.210 x 3^-2;0.08641975308641973
Combinação 0.210 x 3^-1;0.2592592592592592
Combinação 0.210 x 3^0;0.7777777777777777
Combinação 0.210 x 3^1;2.333333333333333
Combinação 0.211 x 3^-2;0.09053497942386829
Combinação 0.211 x 3^-1;0.27160493827160487
Combinação 0.211 x 3^0;0.8148148148148147
Combinação 0.211 x 3^1;2.4444444444444438
Combinação 0.212 x 3^-2;0.09465020576131686
Combinação 0.212 x 3^-1;0.28395061728395055
Combinação 0.212 x 3^0;0.8518518518518517
Combinação 0.212 x 3^1;2.5555555555555554
Combinação 0.220 x 3^-2;0.09876543209876543
Combinação 0.220 x 3^-1;0.2962962962962963
Combinação 0.220 x 3^0;0.8888888888888888
Combinação 0.220 x 3^1;2.6666666666666665
Combinação 0.221 x 3^-2;0.10288065843621397
Combinação 0.221 x 3^-1;0.3086419753086419
Combinação 0.221 x 3^0;0.9259259259259258
Combinação 0.221 x 3^1;2.7777777777777777
Combinação 0.222 x 3^-2;0.10699588477366254
Combinação 0.222 x 3^-1;0.32098765432098764
Combinação 0.222 x 3^0;0.9629629629629629
Combinação 0.222 x 3^1;2.888888888888889
